timestamp,hour,p_outage,e_duration,lower_80,upper_80
2024-12-31 00:00:00,0,0.0563,75.2,0.0309,0.0765
2024-12-31 01:00:00,1,0.0538,72.5,0.0309,0.0784
2024-12-31 02:00:00,2,0.0512,77.8,0.0307,0.0777
2024-12-31 03:00:00,3,0.0516,77.4,0.0192,0.0729
2024-12-31 04:00:00,4,0.0544,77.5,0.0318,0.0748
2024-12-31 05:00:00,5,0.0625,70.7,0.0313,0.0901
2024-12-31 06:00:00,6,0.0776,68.4,0.0548,0.1003
2024-12-31 07:00:00,7,0.0997,67.2,0.0687,0.1291
2024-12-31 08:00:00,8,0.1265,69.5,0.1078,0.1478
2024-12-31 09:00:00,9,0.139,70.1,0.1148,0.163
2024-12-31 10:00:00,10,0.1314,71.4,0.1011,0.1501
2024-12-31 11:00:00,11,0.1114,71.9,0.0911,0.1343
2024-12-31 12:00:00,12,0.0924,73.0,0.0684,0.1197
2024-12-31 13:00:00,13,0.0802,74.8,0.0476,0.0963
2024-12-31 14:00:00,14,0.0732,81.7,0.0442,0.1013
2024-12-31 15:00:00,15,0.0726,81.5,0.0446,0.1053
2024-12-31 16:00:00,16,0.0782,79.6,0.0615,0.099
2024-12-31 17:00:00,17,0.0935,74.3,0.0641,0.121
2024-12-31 18:00:00,18,0.1226,72.7,0.0926,0.1405
2024-12-31 19:00:00,19,0.1519,72.5,0.1325,0.1731
2024-12-31 20:00:00,20,0.1626,72.7,0.1423,0.1897
2024-12-31 21:00:00,21,0.1419,74.7,0.119,0.1663
2024-12-31 22:00:00,22,0.1044,73.4,0.0753,0.1356
2024-12-31 23:00:00,23,0.0776,74.6,0.0559,0.0938
